Date,Home,Away
2018-05-27,Athletics,Diamondbacks
2018-07-10,Pirates,Nationals
2018-03-31,Athletics,Angels
2018-07-28,Angels,Mariners
2018-06-13,Orioles,Red Sox
2018-03-31,Braves,Phillies
2018-08-23,Nationals,Phillies
2018-07-03,Brewers,Twins
2018-09-05,White Sox,Tigers
2018-09-23,Pirates,Brewers
2018-05-19,Royals,Yankees
2018-05-10,Marlins,Braves
2018-07-21,Reds,Pirates
2018-06-01,Twins,Indians
2018-08-23,Diamondbacks,Angels
2018-05-19,Astros,Indians
2018-08-25,Twins,Athletics
2018-05-14,Diamondbacks,Nationals
2018-09-23,Diamondbacks,Rockies
2018-05-27,Dodgers,Padres
2018-09-12,Giants,Braves
2018-09-04,Marlins,Phillies
2018-05-27,Phillies,Blue Jays
2018-08-18,Rangers,Angels
2018-06-30,Athletics,Indians
2018-07-13,Indians,Yankees
2018-05-18,Angels,Rays
2018-06-17,Dodgers,Giants
2018-08-20,Mets,Giants
2018-04-13,Nationals,Rockies
2018-08-25,Mets,Nationals
2018-06-24,Pirates,Diamondbacks
2018-05-08,Phillies,Giants
2018-05-22,Rays,Red Sox
2018-05-08,Blue Jays,Mariners
2018-05-31,Cardinals,Pirates
2018-04-14,Cubs,Braves
2018-04-26,Yankees,Twins
2018-08-13,Braves,Marlins
2018-08-11,Blue Jays,Rays
2018-09-29,Mariners,Rangers
2018-09-30,Phillies,Braves
2018-04-02,Marlins,Red Sox
2018-06-02,Padres,Reds
2018-08-22,Rays,Royals
2018-09-04,Rangers,Angels
2018-08-04,Pirates,Cardinals
2018-05-26,Pirates,Cardinals
2018-07-04,Marlins,Rays
2018-07-31,Red Sox,Phillies
2018-07-09,Red Sox,Rangers
2018-04-02,Astros,Orioles
2018-05-16,Royals,Rays
2018-04-17,Tigers,Orioles
2018-08-07,Marlins,Cardinals
2018-08-13,Braves,Marlins
2018-04-08,Angels,Athletics
2018-07-28,Astros,Rangers
2018-06-24,Braves,Orioles
2018-04-12,Reds,Cardinals
2018-06-15,Orioles,Marlins
2018-08-18,Athletics,Astros
2018-08-29,Cubs,Mets
2018-08-12,Padres,Phillies
2018-09-28,Phillies,Braves
2018-06-08,Tigers,Indians
2018-05-22,Reds,Pirates
2018-09-15,Padres,Rangers
2018-09-19,Yankees,Red Sox
2018-06-09,Rangers,Astros
2018-08-11,Tigers,Twins
2018-07-11,Braves,Blue Jays
2018-08-03,Diamondbacks,Giants
